Features,Selector,WER,Num correct of 178
features_ground, SelectorConstant,0.668539326,59
features_ground, SelectorBIC,0.550561798,80
features_ground, SelectorDIC,0.573033708,76
features_ground, SelectorCV,0.58988764,73
features_norm, SelectorConstant,0.623595506,67
features_norm, SelectorBIC,0.612359551,69
features_norm, SelectorDIC,0.595505618,72
features_norm, SelectorCV,0.679775281,57
features_polar, SelectorConstant,0.617977528,68
features_polar, SelectorBIC,0.54494382,81
features_polar, SelectorDIC,0.54494382,81
features_polar, SelectorCV,0.601123596,71
features_delta, SelectorConstant,0.640449438,64
features_delta, SelectorBIC,0.617977528,68
features_delta, SelectorDIC,0.629213483,66
features_delta, SelectorCV,0.623595506,67
features_hand_dist, SelectorConstant,0.865168539,24
features_hand_dist, SelectorBIC,0.808988764,34
features_hand_dist, SelectorDIC,0.837078652,29
features_hand_dist, SelectorCV,0.808988764,34
features_delta_norm_hand_pos, SelectorConstant,0.54494382,81
features_delta_norm_hand_pos, SelectorBIC,0.54494382,81
features_delta_norm_hand_pos, SelectorDIC,0.595505618,72
features_delta_norm_hand_pos, SelectorCV,0.573033708,76
features_norm_polar_coords, SelectorConstant,0.460674157,96
features_norm_polar_coords, SelectorBIC,0.426966292,102
features_norm_polar_coords, SelectorDIC,0.404494382,106
features_norm_polar_coords, SelectorCV,0.449438202,98
features_custom, SelectorConstant,0.466292135,95
features_custom, SelectorBIC,0.426966292,102
features_custom, SelectorDIC,0.466292135,95
features_custom, SelectorCV,0.466292135,95
features_best, SelectorConstant,0.45505618,97
features_best, SelectorBIC,0.449438202,98
features_best, SelectorDIC,0.460674157,96
features_best, SelectorCV,0.483146067,92
